county_cd	County Type	year	Population	Total self-supplied groundwater withdrawals, in Mgal/d	Total self-supplied surface-water withdrawals, in Mgal/d	Total self-supplied withdrawals, in Mgal/d	Total consumptive use, fresh, in Mgal/d	Total conveyance loss, in Mgal/d	 Total sprinkler irrigation, in thousand acres	Total microirrigation, in thousand acres	Total surface irrigation, in thousand acres	Total irrigation, in thousand acres	Total reclaimed wastewater, in Mgal/d	$E-Total conveyance loss, in Mgal/d
1.000	Urban	1985.000	276.470	36.790	32.670	69.460	38.000	14.910	6.060	$null$	21.360	27.420	0.700	18.159
1.000	Urban	1990.000	265.040	45.730	37.660	83.390	47.750	16.970	7.140	$null$	25.110	32.250	0.300	22.562
1.000	Urban	1995.000	303.300	37.060	38.500	75.560	40.650	16.870	6.720	0.000	23.690	30.410	1.300	19.538
1.000	Urban	2000.000	363.860	15.030	29.670	44.700	$null$	$null$	13.050	0.000	14.520	27.570	$null$	6.363
1.000	Urban	2005.000	399.426	1.020	111.720	112.740	$null$	$null$	16.310	0.000	13.540	29.850	$null$	29.955
1.000	Urban	2010.000	441.603	16.100	129.370	145.470	$null$	$null$	18.400	0.000	12.190	30.590	$null$	42.989
1.000	Urban	2015.000	491.337	3.770	83.260	87.030	9.360	$null$	14.840	0.000	4.440	19.280	$null$	23.699
3.000	Rural	1985.000	12.500	102.290	244.590	346.880	152.200	102.950	15.990	$null$	93.180	109.170	0.000	102.872
3.000	Rural	1990.000	13.620	174.940	159.630	334.570	221.720	39.670	63.650	$null$	88.700	152.350	0.000	85.833
3.000	Rural	1995.000	14.220	116.760	293.860	410.620	170.360	135.140	46.090	0.000	60.580	106.670	0.000	125.388
3.000	Rural	2000.000	14.970	123.120	99.560	222.680	$null$	$null$	108.170	0.000	1.100	109.270	$null$	47.304
3.000	Rural	2005.000	15.282	185.070	44.250	229.320	$null$	$null$	73.220	0.000	39.350	112.570	$null$	57.387
3.000	Rural	2010.000	15.445	115.550	33.840	149.390	$null$	$null$	69.770	0.000	47.740	117.510	$null$	20.956
3.000	Rural	2015.000	16.496	84.110	52.500	136.610	61.920	$null$	63.930	0.000	43.730	107.660	$null$	17.286
5.000	Urban	1985.000	371.590	7.920	0.900	8.820	6.310	0.760	3.390	$null$	1.520	4.910	0.570	-0.046
5.000	Urban	1990.000	391.510	6.830	0.750	7.580	5.090	0.640	2.200	$null$	0.970	3.170	0.570	0.042
5.000	Urban	1995.000	449.100	4.840	0.610	5.450	3.630	0.480	2.200	0.000	0.980	3.180	0.500	-0.914
5.000	Urban	2000.000	487.970	2.530	0.680	3.210	$null$	$null$	3.360	0.000	0.000	3.360	$null$	-2.114
5.000	Urban	2005.000	529.090	1.760	11.160	12.920	$null$	$null$	3.990	0.000	0.000	3.990	$null$	1.239
5.000	Urban	2010.000	572.003	1.910	14.790	16.700	$null$	$null$	4.460	0.000	0.600	5.060	$null$	2.313
5.000	Urban	2015.000	631.096	2.050	1.510	3.560	2.360	$null$	3.780	0.000	0.300	4.080	$null$	-2.274
7.000	Frontier	1985.000	5.230	0.080	30.390	30.470	9.720	1.950	0.530	$null$	8.220	8.750	0.000	6.735
7.000	Frontier	1990.000	5.350	0.090	40.310	40.400	9.140	9.270	0.940	$null$	14.600	15.540	0.000	8.462
7.000	Frontier	1995.000	7.100	0.860	45.300	46.160	16.370	8.070	1.280	0.000	19.170	20.450	0.000	9.228
7.000	Frontier	2000.000	9.900	0.130	64.330	64.460	$null$	$null$	0.190	0.000	16.760	16.950	$null$	17.216
7.000	Frontier	2005.000	11.886	0.000	69.240	69.240	$null$	$null$	1.000	0.000	19.660	20.660	$null$	17.841
7.000	Frontier	2010.000	12.084	0.000	56.020	56.020	$null$	$null$	1.030	0.000	20.790	21.820	$null$	12.512
7.000	Frontier	2015.000	12.352	0.110	41.840	41.950	24.220	$null$	1.150	0.000	19.620	20.770	$null$	7.504
9.000	Frontier	1985.000	4.820	88.090	0.470	88.560	40.980	8.990	8.860	$null$	50.160	59.020	0.000	19.720
9.000	Frontier	1990.000	4.560	90.200	0.260	90.460	81.400	9.190	16.700	$null$	52.900	69.600	0.000	16.648
9.000	Frontier	1995.000	4.380	104.260	0.000	104.260	48.540	10.420	16.280	0.000	51.530	67.810	0.000	23.477
9.000	Frontier	2000.000	4.520	110.940	0.000	110.940	$null$	$null$	57.940	0.060	20.130	78.130	$null$	18.886
9.000	Frontier	2005.000	4.069	122.170	0.000	122.170	$null$	$null$	69.110	0.000	16.860	85.970	$null$	20.428
9.000	Frontier	2010.000	3.788	96.750	0.060	96.810	$null$	$null$	118.160	0.000	37.070	155.230	$null$	-16.639
9.000	Frontier	2015.000	3.615	125.070	0.170	125.240	44.570	$null$	63.720	0.000	9.050	72.770	$null$	26.241
11.000	Frontier	1985.000	5.740	25.560	339.630	365.190	151.850	137.900	0.380	$null$	61.320	61.700	0.000	119.553
11.000	Frontier	1990.000	5.050	18.700	154.010	172.710	129.000	43.010	0.000	$null$	69.790	69.790	0.000	44.109
11.000	Frontier	1995.000	5.520	7.280	417.220	424.500	179.140	150.790	0.000	0.000	63.280	63.280	0.000	140.140
11.000	Frontier	2000.000	6.000	6.720	316.950	323.670	$null$	$null$	0.000	0.000	58.520	58.520	$null$	103.440
11.000	Frontier	2005.000	5.558	6.170	97.760	103.930	$null$	$null$	0.050	0.000	59.100	59.150	$null$	20.306
11.000	Frontier	2010.000	6.499	14.980	134.670	149.650	$null$	$null$	3.470	0.010	50.850	54.330	$null$	39.242
11.000	Frontier	2015.000	5.830	7.270	160.540	167.810	50.640	$null$	6.990	0.000	39.650	46.640	$null$	47.356
13.000	Urban	1985.000	210.640	12.620	153.590	166.210	79.380	62.070	0.880	$null$	41.920	42.800	0.000	48.950
13.000	Urban	1990.000	225.340	12.910	143.960	156.870	79.410	56.790	0.990	$null$	47.160	48.150	0.000	43.880
